nome,altura,peso,cor_cabelo,cor_pelo,cor_olho,ano_nascimento,genero,planeta_natal,qtd_veiculos,qtd_naves,the_phantom_menace,attack_of_the_clones,revenge_of_the_sith,a_new_hope,the_empire_strikes_back,return_of_the_jedi
luke skywalker,172.0,77.0,blond,fair,blue,19bby,male,tatooine,2,2,0,0,1,1,1,1
c-3po,167.0,75.0,,gold,yellow,112bby,,tatooine,0,0,1,1,1,1,1,1
darth vader,202.0,136.0,none,white,yellow,41.9bby,male,tatooine,0,1,0,0,1,1,1,1
owen lars,178.0,120.0,"brown, grey",light,blue,52bby,male,tatooine,0,0,0,1,1,1,0,0
beru whitesun lars,165.0,75.0,brown,light,blue,47bby,female,tatooine,0,0,0,1,1,1,0,0
r5-d4,97.0,32.0,,"white, red",red,,,tatooine,0,0,0,0,0,1,0,0
biggs darklighter,183.0,84.0,black,light,brown,24bby,male,tatooine,0,1,0,0,0,1,0,0
anakin skywalker,188.0,84.0,blond,fair,blue,41.9bby,male,tatooine,2,3,1,1,1,0,0,0
r2-d2,96.0,32.0,,"white, blue",red,33bby,,naboo,0,0,1,1,1,1,1,1
palpatine,170.0,75.0,grey,pale,yellow,82bby,male,naboo,0,0,1,1,1,0,1,1
leia organa,150.0,49.0,brown,light,brown,19bby,female,alderaan,1,0,0,0,1,1,1,1
obi-wan kenobi,182.0,77.0,"auburn, white",fair,blue-gray,57bby,male,stewjon,1,5,1,1,1,1,1,1
chewbacca,228.0,112.0,brown,,blue,200bby,male,kashyyyk,1,2,0,0,1,1,1,1
