nome;altura;peso;cor_cabelo;cor_pelo;cor_olho;ano_nascimento;genero;url_homeworld;url_films;url_especies;url_vehicles;url_starships;data_criacao;data_edicao;url_origem;load_date
luke skywalker;172.0;77.0;blond;fair;blue;19bby;male;https://swapi.dev/api/planets/1/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/6/'];[];['https://swapi.dev/api/vehicles/14/', 'https://swapi.dev/api/vehicles/30/'];['https://swapi.dev/api/starships/12/', 'https://swapi.dev/api/starships/22/'];2014-12-09 13:50:51.644000+00:00;2014-12-20 21:17:56.891000+00:00;https://swapi.dev/api/people/1/;2023-10-20
c-3po;167.0;75.0;blond;gold;yellow;112bby;male;https://swapi.dev/api/planets/1/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/'];['https://swapi.dev/api/species/2/'];[];[];2014-12-10 15:10:51.357000+00:00;2014-12-20 21:17:50.309000+00:00;https://swapi.dev/api/people/2/;2023-10-20
r2-d2;96.0;32.0;blond;white, blue;red;33bby;male;https://swapi.dev/api/planets/8/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/'];['https://swapi.dev/api/species/2/'];[];[];2014-12-10 15:11:50.376000+00:00;2014-12-20 21:17:50.311000+00:00;https://swapi.dev/api/people/3/;2023-10-20
darth vader;202.0;136.0;none;white;yellow;41.9bby;male;https://swapi.dev/api/planets/1/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/6/'];[];[];['https://swapi.dev/api/starships/13/'];2014-12-10 15:18:20.704000+00:00;2014-12-20 21:17:50.313000+00:00;https://swapi.dev/api/people/4/;2023-10-20
leia organa;150.0;49.0;brown;light;brown;19bby;female;https://swapi.dev/api/planets/2/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/6/'];[];['https://swapi.dev/api/vehicles/30/'];[];2014-12-10 15:20:09.791000+00:00;2014-12-20 21:17:50.315000+00:00;https://swapi.dev/api/people/5/;2023-10-20
owen lars;178.0;120.0;brown, grey;light;blue;52bby;male;https://swapi.dev/api/planets/1/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/'];[];[];[];2014-12-10 15:52:14.024000+00:00;2014-12-20 21:17:50.317000+00:00;https://swapi.dev/api/people/6/;2023-10-20
beru whitesun lars;165.0;75.0;brown;light;blue;47bby;female;https://swapi.dev/api/planets/1/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/'];[];[];[];2014-12-10 15:53:41.121000+00:00;2014-12-20 21:17:50.319000+00:00;https://swapi.dev/api/people/7/;2023-10-20
r5-d4;97.0;32.0;brown;white, red;red;47bby;female;https://swapi.dev/api/planets/1/;['https://swapi.dev/api/films/1/'];['https://swapi.dev/api/species/2/'];[];[];2014-12-10 15:57:50.959000+00:00;2014-12-20 21:17:50.321000+00:00;https://swapi.dev/api/people/8/;2023-10-20
biggs darklighter;183.0;84.0;black;light;brown;24bby;male;https://swapi.dev/api/planets/1/;['https://swapi.dev/api/films/1/'];[];[];['https://swapi.dev/api/starships/12/'];2014-12-10 15:59:50.509000+00:00;2014-12-20 21:17:50.323000+00:00;https://swapi.dev/api/people/9/;2023-10-20
obi-wan kenobi;182.0;77.0;auburn, white;fair;blue-gray;57bby;male;https://swapi.dev/api/planets/20/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/'];[];['https://swapi.dev/api/vehicles/38/'];['https://swapi.dev/api/starships/48/', 'https://swapi.dev/api/starships/59/', 'https://swapi.dev/api/starships/64/', 'https://swapi.dev/api/starships/65/', 'https://swapi.dev/api/starships/74/'];2014-12-10 16:16:29.192000+00:00;2014-12-20 21:17:50.325000+00:00;https://swapi.dev/api/people/10/;2023-10-20
anakin skywalker;188.0;84.0;blond;fair;blue;41.9bby;male;https://swapi.dev/api/planets/1/;['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/'];[];['https://swapi.dev/api/vehicles/44/', 'https://swapi.dev/api/vehicles/46/'];['https://swapi.dev/api/starships/39/', 'https://swapi.dev/api/starships/59/', 'https://swapi.dev/api/starships/65/'];2014-12-10 16:20:44.310000+00:00;2014-12-20 21:17:50.327000+00:00;https://swapi.dev/api/people/11/;2023-10-20
